id,value,color
Rafael Nadal,
Rafael Nadal.Gender,
Rafael Nadal.Gender.Female,16827,#808080
Rafael Nadal.Gender.Male,12642,#80A0A0
Rafael Nadal.Age,
Rafael Nadal.Age.Under 25,20873,#808080
Rafael Nadal.Age.25 and Over,8595,#80A0A0
Rafael Nadal.Attendance,
Rafael Nadal.Attendance.Full-Time,25084,#808080
Rafael Nadal.Attendance.Part-Time,4585,#80A0A0
Rafael Nadal.Residency,
Rafael Nadal.Residency.In-State,21232,#808080
Rafael Nadal.Residency.Out-of-State,8237,#80A0A0
Rafael Nadal.Enrollment,
Rafael Nadal.Enrollment.Undergraduate,18523,#808080
Rafael Nadal.Enrollment.Graduate,8427,#80A0A0
Rafael Nadal.Enrollment.Professional,2519,#E54F24
Rafael Nadal.Citizenship,
Rafael Nadal.Citizenship.US Citizen,27114,#808080
Rafael Nadal.Citizenship.Resident Alien,763,#80A0A0
Rafael Nadal.Citizenship.Nonresident Alien,1592,#E54F24
Rafael Nadal.Proximity,
Rafael Nadal.Proximity.On-Campus,27100,#808080
Rafael Nadal.Proximity.Off-Campus,2369,#80A0A0
Rafael Nadal.Race,
Rafael Nadal.Race.American Indian or Alaskan Native,129,#808080
Rafael Nadal.Race.Asian,3759,#80A0A0
Rafael Nadal.Race.Black or African-American,2342,#E54F24
Rafael Nadal.Race.Hispanic,2145,#FF9900
Rafael Nadal.Race.Native Hawaiian or Pacific Islander,43,#563B7E
Rafael Nadal.Race.Race/Ethnicity Unknown,1184,#D6BA33
Rafael Nadal.Race.Two or More Races,1610,#1169AE
Rafael Nadal.Race.White,18257,#F6854D